model,threshold,input_t1,output_t1,input_t2,output_t2
accounts/fireworks/models/kat-coder,0,9e-07,9e-07,,
accounts/fireworks/models/kat-dev-32b,0,9e-07,9e-07,,
accounts/fireworks/models/kat-dev-72b-exp,0,9e-07,9e-07,,
accounts/fireworks/models/kimi-k2-instruct,0,6e-07,2.5e-06,,
accounts/fireworks/models/kimi-k2-instruct-0905,0,6e-07,2.5e-06,,
accounts/fireworks/models/kimi-k2-thinking,0,6e-07,2.5e-06,,
accounts/fireworks/models/kimi-k2p5,0,6e-07,3e-06,,
accounts/fireworks/models/llama-guard-2-8b,0,2e-07,2e-07,,
accounts/fireworks/models/llama-guard-3-1b,0,1e-07,1e-07,,
accounts/fireworks/models/llama-guard-3-8b,0,2e-07,2e-07,,
accounts/fireworks/models/llama-v2-13b,0,2e-07,2e-07,,
accounts/fireworks/models/llama-v2-13b-chat,0,2e-07,2e-07,,
accounts/fireworks/models/llama-v2-70b,0,1e-07,1e-07,,
accounts/fireworks/models/llama-v2-70b-chat,0,9e-07,9e-07,,
accounts/fireworks/models/llama-v2-7b,0,2e-07,2e-07,,
accounts/fireworks/models/llama-v2-7b-chat,0,2e-07,2e-07,,
accounts/fireworks/models/llama-v3-70b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/llama-v3-70b-instruct-hf,0,9e-07,9e-07,,
accounts/fireworks/models/llama-v3-8b,0,2e-07,2e-07,,
accounts/fireworks/models/llama-v3-8b-instruct-hf,0,2e-07,2e-07,,
accounts/fireworks/models/llama-v3p1-405b-instruct,0,3e-06,3e-06,,
accounts/fireworks/models/llama-v3p1-405b-instruct-long,0,1e-07,1e-07,,
accounts/fireworks/models/llama-v3p1-70b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/llama-v3p1-70b-instruct-1b,0,1e-07,1e-07,,
accounts/fireworks/models/llama-v3p1-8b-instruct,0,1e-07,1e-07,,
accounts/fireworks/models/llama-v3p1-nemotron-70b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/llama-v3p2-11b-vision-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/llama-v3p2-1b,0,1e-07,1e-07,,
accounts/fireworks/models/llama-v3p2-1b-instruct,0,1e-07,1e-07,,
accounts/fireworks/models/llama-v3p2-3b,0,1e-07,1e-07,,
accounts/fireworks/models/llama-v3p2-3b-instruct,0,1e-07,1e-07,,
accounts/fireworks/models/llama-v3p2-90b-vision-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/llama-v3p3-70b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/llama4-maverick-instruct-basic,0,2.2e-07,8.8e-07,,
accounts/fireworks/models/llama4-scout-instruct-basic,0,1.5e-07,6e-07,,
accounts/fireworks/models/llamaguard-7b,0,2e-07,2e-07,,
accounts/fireworks/models/llava-yi-34b,0,9e-07,9e-07,,
accounts/fireworks/models/minimax-m1-80k,0,1e-07,1e-07,,
accounts/fireworks/models/minimax-m2,0,3e-07,1.2e-06,,
accounts/fireworks/models/minimax-m2p1,0,3e-07,1.2e-06,,
accounts/fireworks/models/ministral-3-14b-instruct-2512,0,2e-07,2e-07,,
accounts/fireworks/models/ministral-3-3b-instruct-2512,0,1e-07,1e-07,,
accounts/fireworks/models/ministral-3-8b-instruct-2512,0,2e-07,2e-07,,
accounts/fireworks/models/mistral-7b,0,2e-07,2e-07,,
accounts/fireworks/models/mistral-7b-instruct-4k,0,2e-07,2e-07,,
accounts/fireworks/models/mistral-7b-instruct-v0p2,0,2e-07,2e-07,,
accounts/fireworks/models/mistral-7b-instruct-v3,0,2e-07,2e-07,,
accounts/fireworks/models/mistral-7b-v0p2,0,2e-07,2e-07,,
accounts/fireworks/models/mistral-large-3-fp8,0,1.2e-06,1.2e-06,,
accounts/fireworks/models/mistral-nemo-base-2407,0,2e-07,2e-07,,
accounts/fireworks/models/mistral-nemo-instruct-2407,0,2e-07,2e-07,,
accounts/fireworks/models/mistral-small-24b-instruct-2501,0,9e-07,9e-07,,
accounts/fireworks/models/mixtral-8x22b,0,1.2e-06,1.2e-06,,
accounts/fireworks/models/mixtral-8x22b-instruct,0,1.2e-06,1.2e-06,,
accounts/fireworks/models/mixtral-8x22b-instruct-hf,0,1.2e-06,1.2e-06,,
accounts/fireworks/models/mixtral-8x7b,0,5e-07,5e-07,,
accounts/fireworks/models/mixtral-8x7b-instruct,0,5e-07,5e-07,,
accounts/fireworks/models/mixtral-8x7b-instruct-hf,0,5e-07,5e-07,,
accounts/fireworks/models/mythomax-l2-13b,0,2e-07,2e-07,,
accounts/fireworks/models/nemotron-nano-v2-12b-vl,0,1e-07,1e-07,,
accounts/fireworks/models/nous-capybara-7b-v1p9,0,2e-07,2e-07,,
accounts/fireworks/models/nous-hermes-2-mixtral-8x7b-dpo,0,5e-07,5e-07,,
accounts/fireworks/models/nous-hermes-2-yi-34b,0,9e-07,9e-07,,
accounts/fireworks/models/nous-hermes-llama2-13b,0,2e-07,2e-07,,
accounts/fireworks/models/nous-hermes-llama2-70b,0,9e-07,9e-07,,
accounts/fireworks/models/nous-hermes-llama2-7b,0,2e-07,2e-07,,
accounts/fireworks/models/nvidia-nemotron-nano-12b-v2,0,2e-07,2e-07,,
accounts/fireworks/models/nvidia-nemotron-nano-9b-v2,0,2e-07,2e-07,,
accounts/fireworks/models/openchat-3p5-0106-7b,0,2e-07,2e-07,,
accounts/fireworks/models/openhermes-2-mistral-7b,0,2e-07,2e-07,,
accounts/fireworks/models/openhermes-2p5-mistral-7b,0,2e-07,2e-07,,
accounts/fireworks/models/openorca-7b,0,2e-07,2e-07,,
accounts/fireworks/models/phi-2-3b,0,1e-07,1e-07,,
accounts/fireworks/models/phi-3-mini-128k-instruct,0,1e-07,1e-07,,
accounts/fireworks/models/phi-3-vision-128k-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/phind-code-llama-34b-python-v1,0,9e-07,9e-07,,
accounts/fireworks/models/phind-code-llama-34b-v1,0,9e-07,9e-07,,
accounts/fireworks/models/phind-code-llama-34b-v2,0,9e-07,9e-07,,
accounts/fireworks/models/pythia-12b,0,2e-07,2e-07,,
accounts/fireworks/models/qwen-qwq-32b-preview,0,9e-07,9e-07,,
accounts/fireworks/models/qwen-v2p5-14b-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/qwen-v2p5-7b,0,2e-07,2e-07,,
accounts/fireworks/models/qwen1p5-72b-chat,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2-72b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2-7b-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/qwen2-vl-2b-instruct,0,1e-07,1e-07,,
accounts/fireworks/models/qwen2-vl-72b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2-vl-7b-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/qwen2p5-0p5b-instruct,0,1e-07,1e-07,,
accounts/fireworks/models/qwen2p5-14b,0,2e-07,2e-07,,
